URL	DocTone	Title
http://allafrica.com/stories/201703010657.html	-6.66666666666667	Somalia : Top Army Officer Escapes an  Assassination Attempt  
http://allafrica.com/stories/201703010658.html	-7.27762803234502	South Africa : Four Somali Shopkeepers Murdered in South Africa
http://allafrica.com/stories/201703010694.html	-4.10396716826265	Somalia : New Leadership , Persistent Problems
http://allafrica.com/stories/201706130150.html	-6.03588907014682	South Africa : Commuters Rebel As Metrorail Fails
http://allafrica.com/stories/201709180398.html	-4.6583850931677	South Africa : Flames , Rubber Bullets Mark Cape Town # TaxiStrike
http://allafrica.com/stories/201801080429.html	-7.90960451977401	South Africa : Three Suspects Arrested for Carjacking and Armed Robbery in Khayelitsha
http://ewn.co.za/2018/04/10/wc-officials-launch-manhunt-for-2-suspects-after-police-ambushed	-11.9850187265918	WC officials launch manhunt for 2 suspects after police ambushed
http://ewn.co.za/2018/04/10/wc-police-commissioner-disheartened-after-ct-officer-gunned-down	-7.2992700729927	WC police commissioner  disheartened  after CT officer gunned down
http://ewn.co.za/2018/04/11/manhunt-continues-for-6-suspects-who-murdered-ct-constable	-9.35251798561149	Manhunt continues for suspects who murdered CT constable
http://ewn.co.za/2018/04/12/family-of-slain-cop-katoyi-assured-of-saps-s-support	-4.2016806722689	Family of slain cop Katoyi assured of SAPS ’ s support
http://ewn.co.za/2018/04/12/family-of-slain-cop-katoyi-assured-of-saps-support	-3.9647577092511	Family of slain cop Katoyi assured of SAPS ’ support
http://ewn.co.za/2018/04/13/cele-asked-to-zoom-in-on-policing-resources-support-in-khayelitsha	-1.76470588235294	Cele asked to zoom in on policing resources , support in Khayelitsha
http://ewn.co.za/2018/04/13/now-his-kids-will-be-left-with-no-father	-3.125	  Now his kids will be left with no father  
http://ewn.co.za/2018/04/30/suspect-to-appear-in-khayelitsha-court-over-cop-murder	-11.6751269035533	Suspect to appear in Khayelitsha court over cop murder
http://ewn.co.za/2018/05/01/relative-welcomes-arrest-of-suspect-in-ncedo-katoyi-murder	-12.5827814569536	Relative welcomes arrest of suspect in Ncedo Katoyi murder
http://news.iafrica.com/sa/1050373.html	-4.31034482758621	iafrica . com N2 protests continue outside Cape Town
http://polity.org.za/article/sa-cyril-ramaphosa-address-by-south-african-deputy-president-competition-commissions-11th-annual-competition-law-economics-and-policy-conference-johannesburg-01092017-2017-09-01	-1.52456239412762	SA : Cyril Ramaphosa : Address by South African Deputy President , Competition Commission 11th Annual Competition Law , Economics and Policy Conference , Johannesburg ( 01 / 09 / 2017 ) 
http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	-2.51046025104603	Cele urges community participation in fighting crime
http://www.702.co.za/articles/299550/when-you-attack-the-police-you-attack-the-state	-3.81125226860255	  When you attack the police , you attack the state  
http://www.anc.org.za/content/programme-national-officials-ahead-launch-mandela-centenary-celebrations	1.86480186480186	Programme of the National Officials ahead of the Launch Mandela Centenary Celebrations
http://www.ann7.com/bid-to-protect-ems-staff/	-0.666666666666671	Bid to protect EMS staff
http://www.dailysun.co.za/News/National/nomvuyo-started-from-scratch-20170824	-1.25786163522013	NOMVUYO STARTED FROM SCRATCH
http://www.dailysun.co.za/News/National/side-street-short-cut-of-death-20170802	-7.90960451977401	SIDE STREET SHORT CUT OF DEATH ! 
http://www.deentv.co.za/anc-stones-da-vehicle-and-supporters-in-cross-roads/	-1.18110236220473	ANC stones DA vehicle and supporters in Cross Roads
http://www.destinyconnect.com/2017/10/03/60-year-waiting-period-houses-cape-town-khayelitsha-residents-told/	-1.9108280254777	60
http://www.enca.com/south-africa/five-people-arrested-in-wcape-for-hijacking-truck	-4.48717948717949	Five people arrested in WCape for hijacking truck
http://www.enca.com/south-africa/four-killers-of-khayelitsha-woman-to-each-spend-life-behind-bars	-5.12820512820513	Four killers of Khayelitsha woman each to spend life behind bars
http://www.enca.com/south-africa/police-arrest-suspect-in-khayelitsha-cop-murder-case	-11.5646258503402	Police arrest suspect in Khayelitsha cop murder case
http://www.enca.com/south-africa/taxi-industry-urged-to-cater-for-affected-busstrike-passengers	-1.23076923076923	Taxi industry urged to cater for affected # BusStrike passengers
